fecha,hora,timestamp_unix,camara_id,lugar,total_personas,ids_detectados,frame_numero,fps_video
2026-05-01,18:02:37,1777676556.783,CAM-02,Entrada,9,"1,2,3,4,5,7,59,88,78",91,13.09
2026-05-01,18:02:38,1777676558.189,CAM-03,Caja,4,"12,15,14,81",93,12.00
2026-05-01,18:02:38,1777676558.190,CAM-02,Entrada,9,"1,2,3,4,5,7,59,88,84",92,13.09
2026-05-01,18:02:38,1777676558.189,CAM-01,Pasillo,16,"20,21,45,34,58,19,26,23,25,90,71,86,74,18,76,64",88,30.00
2026-05-01,18:02:39,1777676559.244,CAM-02,Entrada,9,"1,2,3,4,5,7,59,78,88",95,13.09
2026-05-01,18:02:39,1777676559.305,CAM-01,Pasillo,13,"20,21,45,34,58,19,26,23,25,74,18,98,86",91,30.00
2026-05-01,18:02:39,1777676559.462,CAM-03,Caja,5,"12,15,14,81,72",97,12.00
2026-05-01,18:02:40,1777676560.277,CAM-02,Entrada,9,"1,2,3,4,5,7,59,11,84",98,13.09
2026-05-01,18:02:40,1777676560.366,CAM-01,Pasillo,12,"20,45,34,58,19,23,25,74,18,90,86,64",94,30.00
2026-05-01,18:02:41,1777676560.700,CAM-03,Caja,5,"12,15,14,81,83",101,12.00
2026-05-01,18:02:41,1777676561.326,CAM-02,Entrada,11,"1,2,3,4,5,7,59,11,102,84,78",101,13.09
2026-05-01,18:02:41,1777676561.460,CAM-01,Pasillo,12,"20,45,34,58,19,23,25,74,18,90,86,26",97,30.00
2026-05-01,18:02:42,1777676561.971,CAM-03,Caja,5,"12,15,14,81,104",105,12.00
2026-05-01,18:02:42,1777676562.341,CAM-02,Entrada,12,"1,2,3,4,5,59,11,102,84,78,82,7",104,13.09
2026-05-01,18:02:42,1777676562.500,CAM-01,Pasillo,14,"20,45,34,19,23,25,74,18,90,26,107,94,58,64",100,30.00
2026-05-01,18:02:43,1777676562.995,CAM-03,Caja,5,"12,15,14,81,83",108,12.00
2026-05-01,18:02:43,1777676563.352,CAM-02,Entrada,10,"1,2,3,4,59,11,102,84,78,7",107,13.09
2026-05-01,18:02:43,1777676563.599,CAM-01,Pasillo,16,"20,34,19,23,25,74,18,90,107,94,58,108,103,71,86,45",103,30.00
2026-05-01,18:02:44,1777676564.242,CAM-03,Caja,4,"12,15,14,81",112,12.00
2026-05-01,18:02:44,1777676564.405,CAM-02,Entrada,11,"1,2,3,4,59,11,102,84,78,7,5",110,13.09
